Image Name,Corresponding Text,Said by same character?,Annotation,Youtube Link
1.jpg,"""Yes, sir! WIth or without nuts?""",No,Happiness,https://www.youtube.com/watch?v=HAwijJpmNGU
2.jpg,"""Hey kids, get ready for our very special entertainment.""",No,Happiness,https://www.youtube.com/watch?v=YiHs1fQc1kk
3.jpg,"""Yes, you can keep chewing on my sweater.""",Yes,Happiness,https://www.youtube.com/watch?v=o2E2wLm_LlY
4.jpg,"""Wish me luck, Mrs. Puff!""",Yes,Happiness,https://www.youtube.com/watch?v=2qvWdZymCE0
5.jpg,"""Yea, uh huh.""",Yes,Happiness,https://www.youtube.com/watch?v=2qvWdZymCE0
6.jpg,"""Go to very distant lands.""",Yes,Happiness,https://www.youtube.com/watch?v=tg7ovSctPX8
7.jpg,"""Ah, life is good.""",Yes,Happiness,https://www.youtube.com/watch?v=Gfb7TSuL0HA
8.jpg,"""Good luck on your retirement, Plankton.""",Yes,Happiness,https://www.youtube.com/watch?v=TXkEmU4i-Sw
9.jpg,"""Demand's been so high, I scienced up a way to increase my production!""",Yes,Happiness,https://www.youtube.com/watch?v=TXkEmU4i-Sw
10.jpg,"""Spot it is!""",Yes,Happiness,https://www.youtube.com/watch?v=TXkEmU4i-Sw
11.jpg,"""Why, look at this. A wee rabbit!""",Yes,Happiness,https://www.youtube.com/watch?v=Bkzu-GEBS3s&list=PLo0OWYjmyFyY7q-QY6zbjsUamL_3LeA6D&index=2
12.jpg,"""Ahhh, me mallet!""",Yes,Happiness,https://www.youtube.com/watch?v=Bkzu-GEBS3s&list=PLo0OWYjmyFyY7q-QY6zbjsUamL_3LeA6D&index=2
13.jpg,"""Yes, I won!""",Yes,Happiness,https://www.youtube.com/watch?v=vvgGISTij8Q&list=PLg6R6yXKSLYBomPPcqXGzaQI0pCZc8uZA&index=2
14.jpg,"""Yay!""",Yes,Happiness,https://www.youtube.com/watch?v=vvgGISTij8Q&list=PLg6R6yXKSLYBomPPcqXGzaQI0pCZc8uZA&index=2
15.jpg,"""Haha! Nah, but with these cataracts I might as well be.""",Yes,Happiness,https://www.youtube.com/watch?v=vvgGISTij8Q&list=PLg6R6yXKSLYBomPPcqXGzaQI0pCZc8uZA&index=2
16.jpg,"""They're selling chocolate.""",Yes,"Anger, Contempt",https://www.youtube.com/watch?v=HAwijJpmNGU
17.jpg,"""Eugh eugh eugh eugh""",Yes,Anger,https://www.youtube.com/watch?v=HAwijJpmNGU
18.jpg,"""I am first in line, and no one is gonna tell me otherwise.""",Yes,"Anger, Contempt",https://www.youtube.com/watch?v=HAwijJpmNGU
19.jpg,"""That's it, you're sleeping in the attic.""",Yes,"Anger, Contempt",https://www.youtube.com/watch?v=pyEKOY1TIbU&list=PLo0OWYjmyFyY7q-QY6zbjsUamL_3LeA6D
